feature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
failed_login_count,0.0,1.8998160362243652,1.9107710123062134,0.013275999575853348,0.007699000183492899,0.0,0.0,0.030037999153137207,0.026883000507950783,0.0,0.0,0.1516599953174591,0.0,0.04583299905061722,0.001276999944821,0.0
minimum_idle_time,0.0,0.0,0.08386600017547607,0.0,0.31169700622558594,0.16249099373817444,0.0,0.612064003944397,0.028689999133348465,0.01649799942970276,0.36069801449775696,1.1408970355987549,0.011750999838113785,0.41614899039268494,0.0,0.6832330226898193
admin_access_position,0.0,0.036444999277591705,0.009313000366091728,0.0,0.0823810026049614,0.0,1.4264860153198242,0.031849998980760574,1.6181360483169556,0.00030399998649954796,0.0,0.04459799826145172,0.0,0.05538399890065193,0.022600000724196434,0.13050800561904907
process_execution_position,0.06641999632120132,0.01018999982625246,0.003567999927327037,0.007420000154525042,0.011122999712824821,0.0,0.0,0.06229199841618538,0.005539000034332275,0.01537299994379282,0.6033610105514526,0.008886000141501427,0.0,1.3632570505142212,0.37153300642967224,0.23741699755191803
resource_event_ratio,0.16376900672912598,0.04666699841618538,0.30878499150276184,0.0005430000019259751,0.1629520058631897,0.0,0.7117050290107727,0.012752999551594257,0.5694220066070557,0.0019330000504851341,0.08279100060462952,0.10983700305223465,0.025786999613046646,0.01759300008416176,0.0,0.05046800151467323
powershell_executions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039781998842954636,0.0,0.0,0.05287100002169609,2.013597011566162,0.0
total_upload_bytes,0.0,0.0028009999077767134,0.0,2.0367989540100098,0.0,0.0,0.0,0.0,0.0,0.04317599907517433,0.0,0.0,0.0,0.0,0.0,0.0
device_deviation,0.0,0.0,0.0025339999701827765,0.0,1.7774009704589844,0.0,0.0,0.0,0.0009169999975711107,0.032648999243974686,0.0,0.2167620062828064,0.0,0.005963000003248453,0.0,0.004282999783754349
unique_source_ips,0.0,0.0,0.0,0.0,0.012895000167191029,1.9107849597930908,0.0,0.0,0.0,0.0,0.0,0.11673499643802643,0.0,0.0,0.0,0.0
total_download_bytes,0.0,0.00036800000816583633,0.0,0.5604869723320007,0.016697000712156296,0.0,0.0,0.029008999466896057,0.0013020000187680125,1.2916970252990723,0.0006440000142902136,0.005111999809741974,0.0,0.0020210000220686197,0.0,0.03888100013136864
login_hour,0.0,0.0006670000148005784,0.0008120000129565597,0.0,0.009065999649465084,0.0,0.0,0.012496000155806541,0.0031479999888688326,0.0019839999731630087,0.0,0.10380999743938446,1.7833629846572876,0.0,0.00814600009471178,0.008369999937713146
database_query_count,0.0,0.0,0.0007440000190399587,0.0,0.0,0.0,0.0,1.8674880266189575,0.002885000081732869,0.0,0.0,0.0,0.0,0.0,0.0,0.05829799920320511
processes_started,0.11807800084352493,0.02723200060427189,0.016644999384880066,0.0018029999919235706,0.014564000070095062,0.0,0.0,0.0017130000051110983,0.003140999935567379,0.0,1.5230369567871094,0.010916000232100487,0.0,0.16753700375556946,0.0,0.01804099977016449
external_connections,1.697167992591858,0.0,0.0,0.0016680000117048621,0.0,0.0,0.0,0.007230999879539013,0.0,0.0,0.006521999835968018,0.007505000103265047,0.0,0.0,0.0,0.0
files_downloaded,0.001800999976694584,0.0,0.0,0.0,0.02155500091612339,0.0,0.0,0.0,0.0,1.380929946899414,0.0,0.0,0.0,0.0,0.0,0.003493000054731965
admin_resource_accesses,0.014764999970793724,0.004745000042021275,0.017573000863194466,0.0,0.06995099782943726,0.0,0.1554650068283081,0.014533000066876411,0.7099339962005615,0.0009250000002793968,0.01464099995791912,0.00571299996227026,0.0,0.08613000065088272,0.024260999634861946,0.05096200108528137
authentication_attempts,0.0,0.6332870125770569,0.44279399514198303,0.0044280001893639565,0.0034030000679194927,0.0,0.0,0.009145000018179417,0.0057749999687075615,0.0,0.0,0.05451599881052971,0.0,0.015289000235497952,0.0004939999780617654,0.0
process_event_ratio,0.006711999885737896,0.009012999944388866,0.004257999826222658,0.0,0.07076500356197357,0.0,0.0,0.020044000819325447,0.003930999897420406,0.01053600013256073,0.15005500614643097,0.026616999879479408,0.0,0.7033429741859436,0.14556799829006195,0.006666999775916338
resource_access_deviation,0.0,0.015011999756097794,0.03015800006687641,0.0,0.27667999267578125,0.0,0.378493994474411,0.012322000227868557,0.08935000002384186,0.0,0.004600999876856804,0.20097500085830688,0.0,0.005816000048071146,0.0007820000173524022,0.10400000214576721
session_start_hour,0.0,0.00015900000289548188,0.0,0.0,0.0,0.0,0.0,0.0060430001467466354,0.004567999858409166,0.0,0.0,0.020620999857783318,0.877921998500824,0.0,0.005044999998062849,0.005311000160872936
login_event_ratio,0.0,0.3176789879798889,0.0634239986538887,0.08399999886751175,0.06557899713516235,0.0037070000544190407,0.0421379990875721,0.0038010000716894865,0.0,0.00072900002123788,0.0,0.0013170000165700912,0.0017379999626427889,0.034543998539447784,0.0,0.1698630005121231
login_to_first_resource_time,0.0,0.006909000221639872,0.007996000349521637,0.000653000024612993,0.03556700050830841,0.0,0.12988799810409546,0.0023320000618696213,0.012493999674916267,0.00039999998989515007,0.08399999886751175,0.01293299999088049,0.00010699999984353781,0.14059799909591675,0.0,0.12197499722242355
file_event_ratio,0.0,0.051412999629974365,0.005026999861001968,0.0,0.01898300088942051,0.0008019999950192869,0.020556999370455742,0.015046999789774418,0.00697400001809001,0.0034549999982118607,0.007234999909996986,0.0037879999727010727,0.03775399923324585,0.0013569999719038606,0.005396000109612942,0.37804099917411804
beaconing_event_count,0.5005819797515869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00901000015437603,0.0,0.0,0.0,0.0,0.0
working_hours_deviation,0.0,0.012853999622166157,0.02884100005030632,0.0,0.12772800028324127,0.0,0.0019499999471008778,0.015188000164926052,0.018983999267220497,0.0,0.0,0.037654001265764236,0.05079200118780136,0.0,0.01947000063955784,0.1530119925737381
remote_session,0.0,0.00042799999937415123,0.0005430000019259751,0.0,0.0,0.415149986743927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
